記号,希少性スコア,5件以下カテゴリ数,文字数,文長頑健zスコア,希少性上位1%,|文長z|≥3.5,確認候補
19障467,23.214963958738977,0,144,2.4956158100634025,False,False,False
2023障300,23.20984435305246,0,63,-0.23607176581680833,False,False,False
18障447,23.18989838887521,0,51,-0.6407662215027655,False,False,False
17障256,23.186517445298623,0,91,0.708215297450425,False,False,False
25障131,23.185907212310216,0,136,2.225819506272764,False,False,False
28障39,23.184053832029484,0,113,1.4501551328746798,False,False,False
21障42,23.175395501372712,0,62,-0.26979630379063807,False,False,False
2019障345,23.16794166468392,0,116,1.551328746796169,False,False,False
17障45,23.156768939168572,0,41,-0.9780116012410631,False,False,False
26障381,23.15362530833963,0,53,-0.5733171455551059,False,False,False
26障387,23.15110726914174,0,79,0.30352084176446786,False,False,False
23障368,23.142662649780842,0,30,-1.3489815189531904,False,False,False
17障417,23.134299796095817,0,57,-0.43841899365978687,False,False,False
17障42,23.133492918183816,0,96,0.8768379873195737,False,False,False
21障261,23.133289804287557,0,93,0.7756643733980845,False,False,False
19障51,23.12460003716759,0,81,0.3709699177121274,False,False,False
27障254,23.120579375415137,0,128,1.9560232024821262,False,False,False
19障451,23.114674297833147,0,101,1.0454606771887227,False,False,False
25障18,23.107634173654198,0,83,0.43841899365978687,False,False,False
24障406,23.10246860102201,0,32,-1.281532443005531,False,False,False
30障389,23.10074676716503,0,37,-1.112909753136382,False,False,False
26障401,23.085968173068913,0,72,0.06744907594765952,False,False,False
24障120,23.07852896466144,0,53,-0.5733171455551059,False,False,False
19障10,23.07718543908122,0,36,-1.1466342911102119,False,False,False
29障130,23.05992822619719,0,42,-0.9442870632672333,False,False,False
20障439,23.050588443505546,0,39,-1.0454606771887227,False,False,False
2019障120,23.045580159061217,0,87,0.5733171455551059,False,False,False
2022障143,23.037291876672285,0,150,2.697963037906381,False,False,False
22障441,23.035739905957374,0,54,-0.5395926075812761,False,False,False
20障36,23.0339907265726,0,69,-0.03372453797382976,False,False,False
22障418,23.023762525388683,0,79,0.30352084176446786,False,False,False
19障495,23.017432225058105,0,94,0.8093889113719143,False,False,False
23障84,23.009493583619257,0,19,-1.719951436665318,False,False,False
2023障59,23.00240985396599,0,99,0.9780116012410631,False,False,False
